1, 1.7502, 1.7509, 0.8158, 0.8164, 
2, 1.7495, 1.7507, 0.8151, 0.8162, 
3, 1.7489, 1.7502, 0.8144, 0.8158, 
4, 1.7482, 1.7494, 0.8138, 0.8150, 
5, 1.7475, 1.7484, 0.8131, 0.8140, 
6, 1.7469, 1.7472, 0.8124, 0.8128, 
7, 1.7462, 1.7460, 0.8118, 0.8117, 
8, 1.7455, 1.7449, 0.8111, 0.8105, 
9, 1.7449, 1.7439, 0.8104, 0.8096, 
10, 1.7442, 1.7431, 0.8098, 0.8088, 
11, 1.7435, 1.7426, 0.8091, 0.8082, 
12, 1.7429, 1.7422, 0.8084, 0.8078, 
13, 1.7422, 1.7419, 0.8078, 0.8075, 
14, 1.7415, 1.7417, 0.8071, 0.8072, 
15, 1.7409, 1.7413, 0.8064, 0.8069, 
16, 1.7402, 1.7408, 0.8058, 0.8064, 
17, 1.7395, 1.7402, 0.8051, 0.8058, 
18, 1.7389, 1.7395, 0.8044, 0.8050, 
19, 1.7382, 1.7386, 0.8038, 0.8041, 
20, 1.7375, 1.7376, 0.8031, 0.8032, 
21, 1.7369, 1.7367, 0.8024, 0.8023, 
22, 1.7362, 1.7358, 0.8018, 0.8014, 
23, 1.7355, 1.7350, 0.8011, 0.8006, 
24, 1.7349, 1.7343, 0.8004, 0.7999, 
25, 1.7342, 1.7337, 0.7998, 0.7994, 
26, 1.7335, 1.7332, 0.7991, 0.7989, 
27, 1.7329, 1.7328, 0.7984, 0.7984, 
28, 1.7322, 1.7323, 0.7978, 0.7979, 
29, 1.7315, 1.7318, 0.7971, 0.7974, 
30, 1.7309, 1.7312, 0.7964, 0.7968, 
31, 1.7302, 1.7305, 0.7958, 0.7961, 
32, 1.7295, 1.7298, 0.7951, 0.7954, 
33, 1.7289, 1.7290, 0.7944, 0.7946, 
34, 1.7282, 1.7282, 0.7938, 0.7938, 
35, 1.7275, 1.7274, 0.7931, 0.7930, 
36, 1.7269, 1.7266, 0.7924, 0.7922, 
37, 1.7262, 1.7259, 0.7918, 0.7915, 
38, 1.7255, 1.7252, 0.7911, 0.7909, 
39, 1.7249, 1.7246, 0.7904, 0.7903, 
40, 1.7242, 1.7241, 0.7898, 0.7897, 
41, 1.7235, 1.7235, 0.7891, 0.7891, 
42, 1.7229, 1.7229, 0.7884, 0.7885, 
43, 1.7222, 1.7223, 0.7878, 0.7879, 
44, 1.7215, 1.7217, 0.7871, 0.7873, 
45, 1.7209, 1.7210, 0.7864, 0.7866, 
46, 1.7202, 1.7203, 0.7858, 0.7859, 
47, 1.7195, 1.7196, 0.7851, 0.7851, 
48, 1.7189, 1.7188, 0.7844, 0.7844, 
49, 1.7182, 1.7181, 0.7838, 0.7837, 
50, 1.7175, 1.7174, 0.7831, 0.7830, 
51, 1.7169, 1.7167, 0.7824, 0.7823, 
52, 1.7162, 1.7160, 0.7818, 0.7817, 
53, 1.7155, 1.7154, 0.7811, 0.7810, 
54, 1.7149, 1.7148, 0.7804, 0.7804, 
55, 1.7142, 1.7142, 0.7798, 0.7798, 
56, 1.7135, 1.7136, 0.7791, 0.7792, 
57, 1.7129, 1.7129, 0.7784, 0.7785, 
58, 1.7122, 1.7123, 0.7778, 0.7779, 
59, 1.7115, 1.7116, 0.7771, 0.7772, 
60, 1.7109, 1.7109, 0.7764, 0.7765, 
61, 1.7102, 1.7102, 0.7758, 0.7758, 
62, 1.7095, 1.7095, 0.7751, 0.7751, 
63, 1.7089, 1.7088, 0.7744, 0.7744, 
64, 1.7082, 1.7081, 0.7738, 0.7737, 
65, 1.7075, 1.7074, 0.7731, 0.7730, 
66, 1.7069, 1.7068, 0.7724, 0.7724, 
67, 1.7062, 1.7061, 0.7718, 0.7717, 
68, 1.7055, 1.7055, 0.7711, 0.7711, 
69, 1.7049, 1.7049, 0.7704, 0.7704, 
70, 1.7042, 1.7042, 0.7698, 0.7698, 
71, 1.7035, 1.7036, 0.7691, 0.7691, 
72, 1.7029, 1.7029, 0.7684, 0.7685, 
73, 1.7022, 1.7022, 0.7678, 0.7678, 
74, 1.7015, 1.7015, 0.7671, 0.7671, 
75, 1.7009, 1.7008, 0.7664, 0.7664, 
76, 1.7002, 1.7002, 0.7658, 0.7657, 
77, 1.6995, 1.6995, 0.7651, 0.7651, 
78, 1.6989, 1.6988, 0.7644, 0.7644, 
79, 1.6982, 1.6981, 0.7638, 0.7637, 
80, 1.6975, 1.6975, 0.7631, 0.7631, 
81, 1.6969, 1.6968, 0.7624, 0.7624, 
82, 1.6962, 1.6962, 0.7618, 0.7618, 
83, 1.6955, 1.6955, 0.7611, 0.7611, 
84, 1.6949, 1.6949, 0.7604, 0.7605, 
85, 1.6942, 1.6942, 0.7598, 0.7598, 
86, 1.6935, 1.6935, 0.7591, 0.7591, 
87, 1.6929, 1.6929, 0.7584, 0.7584, 
88, 1.6922, 1.6922, 0.7578, 0.7578, 
89, 1.6915, 1.6915, 0.7571, 0.7571, 
90, 1.6909, 1.6908, 0.7564, 0.7564, 
91, 1.6902, 1.6902, 0.7558, 0.7558, 
92, 1.6895, 1.6895, 0.7551, 0.7551, 
93, 1.6889, 1.6888, 0.7544, 0.7544, 
94, 1.6882, 1.6882, 0.7538, 0.7538, 
95, 1.6875, 1.6875, 0.7531, 0.7531, 
96, 1.6869, 1.6868, 0.7524, 0.7524, 
97, 1.6862, 1.6862, 0.7518, 0.7518, 
98, 1.6855, 1.6855, 0.7511, 0.7511, 
99, 1.6849, 1.6849, 0.7504, 0.7504, 
100, 1.6842, 1.6842, 0.7498, 0.7498, 
101, 1.6835, 1.6835, 0.7491, 0.7491, 
102, 1.6829, 1.6828, 0.7484, 0.7484, 
103, 1.6822, 1.6822, 0.7478, 0.7478, 
104, 1.6815, 1.6815, 0.7471, 0.7471, 
105, 1.6809, 1.6808, 0.7464, 0.7464, 
106, 1.6802, 1.6802, 0.7458, 0.7458, 
107, 1.6795, 1.6795, 0.7451, 0.7451, 
108, 1.6789, 1.6788, 0.7444, 0.7444, 
109, 1.6782, 1.6782, 0.7438, 0.7438, 
110, 1.6775, 1.6775, 0.7431, 0.7431, 
111, 1.6769, 1.6768, 0.7424, 0.7424, 
112, 1.6762, 1.6762, 0.7418, 0.7418, 
113, 1.6755, 1.6755, 0.7411, 0.7411, 
114, 1.6749, 1.6748, 0.7404, 0.7404, 
115, 1.6742, 1.6742, 0.7398, 0.7398, 
116, 1.6735, 1.6735, 0.7391, 0.7391, 
117, 1.6729, 1.6728, 0.7384, 0.7384, 
118, 1.6722, 1.6722, 0.7378, 0.7378, 
119, 1.6715, 1.6715, 0.7371, 0.7371, 
120, 1.6709, 1.6708, 0.7364, 0.7364, 
121, 1.6702, 1.6702, 0.7358, 0.7358, 
122, 1.6695, 1.6695, 0.7351, 0.7351, 
123, 1.6689, 1.6688, 0.7344, 0.7344, 
124, 1.6682, 1.6682, 0.7338, 0.7338, 
125, 1.6675, 1.6675, 0.7331, 0.7331, 
126, 1.6669, 1.6668, 0.7324, 0.7324, 
127, 1.6662, 1.6662, 0.7318, 0.7318, 
128, 1.6655, 1.6655, 0.7311, 0.7311, 
129, 1.6649, 1.6648, 0.7304, 0.7304, 
130, 1.6642, 1.6642, 0.7298, 0.7298, 
131, 1.6635, 1.6635, 0.7291, 0.7291, 
132, 1.6629, 1.6628, 0.7284, 0.7284, 
133, 1.6622, 1.6622, 0.7278, 0.7278, 
134, 1.6615, 1.6615, 0.7271, 0.7271, 
135, 1.6609, 1.6608, 0.7264, 0.7264, 
136, 1.6602, 1.6602, 0.7258, 0.7258, 
137, 1.6595, 1.6595, 0.7251, 0.7251, 
138, 1.6589, 1.6588, 0.7244, 0.7244, 
139, 1.6582, 1.6582, 0.7238, 0.7238, 
140, 1.6575, 1.6575, 0.7231, 0.7231, 
141, 1.6569, 1.6568, 0.7224, 0.7224, 
142, 1.6562, 1.6562, 0.7218, 0.7218, 
143, 1.6555, 1.6555, 0.7211, 0.7211, 
144, 1.6549, 1.6548, 0.7204, 0.7204, 
145, 1.6542, 1.6542, 0.7198, 0.7198, 
146, 1.6535, 1.6535, 0.7191, 0.7191, 
147, 1.6529, 1.6528, 0.7184, 0.7184, 
148, 1.6522, 1.6522, 0.7178, 0.7178, 
149, 1.6515, 1.6515, 0.7171, 0.7171, 
150, 1.6509, 1.6508, 0.7164, 0.7164, 
150, 1.6509, 1.6502, 0.7164, 0.7158, 
150, 1.6509, 1.6497, 0.7164, 0.7153, 
150, 1.6509, 1.6495, 0.7164, 0.7151, 
150, 1.6509, 1.6496, 0.7164, 0.7152, 
150, 1.6509, 1.6499, 0.7164, 0.7155, 
150, 1.6509, 1.6504, 0.7164, 0.7160, 
150, 1.6509, 1.6509, 0.7164, 0.7165, 
150, 1.6509, 1.6514, 0.7164, 0.7170, 
150, 1.6509, 1.6517, 0.7164, 0.7173, 
150, 1.6509, 1.6518, 0.7164, 0.7174, 
150, 1.6509, 1.6517, 0.7164, 0.7173, 
150, 1.6509, 1.6514, 0.7164, 0.7170, 
150, 1.6509, 1.6511, 0.7164, 0.7167, 
150, 1.6509, 1.6507, 0.7164, 0.7163, 
150, 1.6509, 1.6504, 0.7164, 0.7160, 
150, 1.6509, 1.6502, 0.7164, 0.7158, 
150, 1.6509, 1.6502, 0.7164, 0.7158, 
150, 1.6509, 1.6503, 0.7164, 0.7159, 
150, 1.6509, 1.6505, 0.7164, 0.7161, 
150, 1.6509, 1.6507, 0.7164, 0.7163, 
150, 1.6509, 1.6510, 0.7164, 0.7166, 
150, 1.6509, 1.6512, 0.7164, 0.7168, 
150, 1.6509, 1.6513, 0.7164, 0.7169, 
150, 1.6509, 1.6513, 0.7164, 0.7169, 
150, 1.6509, 1.6512, 0.7164, 0.7168, 
150, 1.6509, 1.6511, 0.7164, 0.7167, 
150, 1.6509, 1.6509, 0.7164, 0.7165, 
150, 1.6509, 1.6507, 0.7164, 0.7163, 
150, 1.6509, 1.6506, 0.7164, 0.7162, 
150, 1.6509, 1.6505, 0.7164, 0.7161, 
150, 1.6509, 1.6505, 0.7164, 0.7161, 
150, 1.6509, 1.6506, 0.7164, 0.7162, 
150, 1.6509, 1.6507, 0.7164, 0.7163, 
150, 1.6509, 1.6508, 0.7164, 0.7164, 
150, 1.6509, 1.6509, 0.7164, 0.7165, 
150, 1.6509, 1.6510, 0.7164, 0.7166, 
150, 1.6509, 1.6511, 0.7164, 0.7167, 
